Reference,Qty,Value,Datasheet,MP,Supplier
"R5,R13",2,5.0K,https://www.bourns.com/docs/Product-Datasheets/3386.pdf,3386F-1-502TLF,farnell
U10,1,ADS1115IDGS,http://www.ti.com/lit/ds/symlink/ads1113.pdf,ADS1115BQDGSRQ1,farnell
"C1,C2",2,0.0220uF,https://www.yageogroup.com/content/datasheet/asset/file/KEM_C1002_X7R_SMD,C0603C104K3RACTU,farnell
"C3,C4,C5,C7,C8,C9,C10",7,0.10uF,https://www.yageogroup.com/content/datasheet/asset/file/KEM_C1002_X7R_SMD,C0603C104K3RACTU,farnell
"IC1,IC2",2,CAT4101,https://www.alldatasheet.es/datasheet-pdf/pdf/352063/ONSEMI/CAT4101.html,CAT4104V-GT3,farnell
U8,1,DS3231MZ,http://datasheets.maximintegrated.com/en/ds/DS3231M.pdf,DS3231MZ+,farnell
R4,1,22.10 K,https://www.vishay.com/docs/31010/rcwpm.pdf,ERA3AEB203V,farnell
"R10,R11",2,4.70 K,https://www.vishay.com/docs/31010/rcwpm.pdf,ERJ3EKF4751V,farnell
L2,1,4.70uH,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0111.pdf,LQW18AS4N7G00D,farnell
L1,1,100.0uH,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0111.pdf,LQW18ASR10G00D,farnell
U9,1,LT3045xDD,https://www.analog.com/media/en/technical-documentation/data-sheets/LT3045.pdf,LT3045HDD#TRPBF,farnell
"R1,R2,R12",3,10.0 K,https://www.vishay.com/docs/60018/eh.pdf,M55342E12B10B0RT5,farnell
R3,1,100.0 K,https://www.vishay.com/docs/31010/rcwpm.pdf,M55342K12B100ERS2,farnell
R15,1,0,https://www.vishay.com/docs/31010/rcwpm.pdf,MCWR06X000 PTL,farnell
"R8,R9",2,40.0 K,https://www.vishay.com/docs/31010/rcwpm.pdf,WR06X3922FTL,farnell
LL1,5,XLamp XHP35.2,https://www.farnell.com/datasheets/2699640.pdf?_gl=1*zvmuwk*_gcl_au*MTk2Mzk2OTc4NC4xNzYyMTY5MjA3LjEyMDMxNzAxMjMuMTc2MjE3MDI5OS4xNzYyMTcwNDA1,XHP35B-00-0000-0D0HD240E,farnell
U6,1,MCP9808_MSOP,http://ww1.microchip.com/downloads/en/DeviceDoc/22203b.pdf,579-MCP9808-E/MS ,mouser
R7,1,56.20 K,https://www.vishay.com/docs/31010/rcwpm.pdf,ERA3ARB5622V,mouser
"R6,R14",2,500,https://www.vishay.com/docs/31010/rcwpm.pdf,RC0603FR-07590RL,mouser
U5,1,TLV9001IDCK,https://www.ti.com/lit/ds/symlink/tlv9001.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1762853433630&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Ftlv9001,TLV9001IDCKR,mouser
U11,1,TPS61088RHLT,https://www.ti.com/lit/ds/symlink/tps61088.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1762891137847&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Ftps61088,TPS61088RHLT,mouser
U7,1,TRANSLATOR-TXS0108E,https://www.ti.com/lit/ds/symlink/txs0108e.pdf?ts=1763832768609,TXS0108EPWR,mouser
U4,1,W25Q16JVSS,https://www.winbond.com/resource-files/w25q16jv%20spi%20revg%2003222018%20plus.pdf,W25Q16JVSSIQ,mouser
"BAT_IN1,BAT_OU_LILYGO1,SWITCH_SPDT1",3,M02-JST-2MM-SMT,https://www.jst.fr/doc/jst/pdf/jst-connector-catalogue-vol-120e.pdf,561,tinytronics
"D1,D2",2,LED,https://www.jst.fr/doc/jst/pdf/jst-connector-catalogue-vol-120e.pdf,561,tinytronics
BT1,1,Battery_Cell,https://www.mouser.be/datasheet/3/201/1/1058.PDF,1203,tinytronics
U3,1,LILTGO touch,https://github.com/Xinyuan-LilyGO/T-Display-S3,4807,tinytronics

