"Reference","Qty","Value","Datasheet"
"C1,C2","2","0.022uF",""
"C3,C4,C7,C8,C9,C10","6","0.1uF",""
"L1","1","100uH",""
"L2","1","4.7uH",""
"U8","1","DS3231MZ","http://datasheets.maximintegrated.com/en/ds/DS3231M.pdf"
"U6","1","MCP9808_MSOP","http://ww1.microchip.com/downloads/en/DeviceDoc/22203b.pdf"
"U10","1","ADS1115IDGS","http://www.ti.com/lit/ds/symlink/ads1113.pdf"
"R1,R2,R12","3","10 K","https://datasheet.lcsc.com/lcsc/2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf"
"R3","1","100 K","https://datasheet.lcsc.com/lcsc/2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf"
"R4","1","22.1 K","https://datasheet.lcsc.com/lcsc/2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf"
"R6","1","500","https://datasheet.lcsc.com/lcsc/2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf"
"R7","1","56.2 K","https://datasheet.lcsc.com/lcsc/2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf"
"R8,R9","2","40 K","https://datasheet.lcsc.com/lcsc/2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf"
"R10,R11","2","4.7 K","https://datasheet.lcsc.com/lcsc/2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf"
"U3","1","LILTGO touch","https://github.com/Xinyuan-LilyGO/T-Display-S3"
"R5","1","5K","https://soldered.com/productdata/2015/02/Soldered_RM065-103_datasheet.pdf"
"IC1","1","CAT4101","https://www.alldatasheet.es/datasheet-pdf/pdf/352063/ONSEMI/CAT4101.html"
"U9","1","LT3045xDD","https://www.analog.com/media/en/technical-documentation/data-sheets/3045fa.pdf"
"U1","1","MICROSPEC-C12666MA","https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/ssd/c12666ma_kacc1216e.pdf"
"BAT_IN1,BAT_OU_LILYGO1,SWITCH_SPDT1","3","M02-JST-2MM-SMT","https://www.jst.fr/doc/jst/pdf/jst-connector-catalogue-vol-120e.pdf"
"D1","1","LED","https://www.jst.fr/doc/jst/pdf/jst-connector-catalogue-vol-120e.pdf"
"BT1","1","Battery_Cell","https://www.mouser.be/datasheet/3/201/1/1058.PDF"
"U5","1","TLV9001IDCK","https://www.ti.com/lit/ds/symlink/tlv9001.pdf"
"U11","1","TPS61088RHLT","https://www.ti.com/lit/ds/symlink/tps61088.pdf?ts=1762757246750&ref_url=https%253A%252F%252Fwww.google.com%252F"
"U7","1","TRANSLATOR-TXS0108E","https://www.ti.com/lit/ds/symlink/txs0108e.pdf"
"U4","1","W25Q16JVSS","https://www.winbond.com/hq/support/documentation/levelOne.jsp?__locale=en&DocNo=DA00-W25Q16JV.1"
"R13,R14,R15","3","0","~"
